breedname,breedgroup,assumedflag
Affenpinscher,Toy,0
Afghan Hound,Hound,0
Afghan Hound Crossbreed,Mixed,1
Airedale Terrier,Terrier,0
Akita,Working,0
Akita Crossbreed,Mixed,1
Alaskan Malamute,Working,0
American Bulldog,Foundation Stock Service,0
American Bully,Non-Sporting,1
American English Coonhound,Hound,0
American Eskimo dog,Non-Sporting,0
American Foxhound,Hound,0
American Hairless Terrier,Terrier,0
American Leopard Hound,Foundation Stock Service,0
American Pit Bull Mix / Pit Bull Mix,Mixed,1
American Pit Bull Terrier/Pit Bull,Mixed,1
American Staffordshire Terrier ,Terrier,1
American Water Spaniel,Sporting,0
Anatolian Shepherd Dog,Working,0
Australian Cattle Dog,Herding,0
Australian Kelpie,Foundation Stock Service,0
Australian Shepherd,Herding,0
Australian Terrier,Terrier,0
Barbet,Miscellaneous,0
Basenji,Hound,0
Basset Hound,Hound,0
Beagle,Hound,0
Beagle Crossbreed,Mixed,1
Bearded Collie,Herding,0
Bedlington Terrier,Terrier,0
Belgian Malinois,Herding,0
Belgian Sheepdog,Herding,0
Belgian Tervuren,Herding,0
Berger Picard,Herding,0
Bernese Mountain Dog,Working,0
Bichon Frise,Non-Sporting,0
Bichon Frise Crossbreed,Mixed,1
Biewer Terrier,Foundation Stock Service,0
Black Russian Terrier,Working,0
Black and Tan Coonhound,Hound,0
Bloodhound,Hound,0
Bloodhound Crossbreed,Mixed,1
Bluetick Coonhound,Hound,0
Boerboel,Working,0
Bolognese,Foundation Stock Service,0
Border Collie,Herding,0
Border Collie Crossbreed,Mixed,1
Border Terrier,Terrier,0
Borzoi,Hound,0
Boston Terrier,Non-Sporting,0
Bouvier Des Flandres,Herding,0
Boxer,Working,0
Boxer Crossbreed,Mixed,1
Boykin Spaniel,Sporting,0
Briard,Herding,0
Brittany,Sporting,0
Brussels Griffon,Toy,0
Bull Terrier,Terrier,0
Bulldog,Non-Sporting,0
Bullmastiff,Working,0
Cairn Terrier,Terrier,0
Canaan Dog,Herding,0
Cane Corso,Working,0
Cardigan Welsh Corgi,Herding,0
Catahoula Leopard Dog,Foundation Stock Service,0
Cavalier King Charles Spaniel,Toy,0
Chesapeake Bay Retriever,Sporting,0
Chihuahua,Toy,0
Chihuahua Crossbreed,Mixed,1
Chinese Crested,Toy,0
Chinese Shar-Pei,Non-Sporting,0
Chinook,Working,0
Chow Chow,Non-Sporting,0
Cirneco dell,Hound,0
Clumber Spaniel,Sporting,0
Cocker Spaniel,Sporting,0
Cocker Spaniel Crossbreed,Mixed,1
Collie,Herding,0
Collie Crossbreed,Mixed,1
Coton de Tulear,Non-Sporting,0
Curly-Coated Retriever,Sporting,0
Dachshund,Hound,0
Dachshund Crossbreed,Mixed,1
Dachshund Smooth Coat,Hound,1
Dachshund Smooth Coat Miniature,Hound,1
Dalmatian,Non-Sporting,0
Dandie Dinmont Terrier,Terrier,0
Doberman Pinscher,Working,0
Dogo Argentino,Miscellaneous,0
Dutch Shepherd,Miscellaneous,0
English Bulldog,Non-Sporting,1
English Cocker Spaniel,Sporting,0
English Foxhound,Hound,0
English Setter,Sporting,0
English Springer Spaniel,Sporting,0
English Toy Spaniel,Toy,0
Entlebucher Mountain Dog,Herding,0
Eurasier,Foundation Stock Service,0
Field Spaniel,Sporting,0
Fila Brasileiro,Working,1
Finnish Lapphund,Herding,0
Finnish Spitz,Non-Sporting,0
Flat-Coated Retriever,Sporting,0
French Bulldog,Non-Sporting,0
French Mastiff (Dogue de Bordeaux),Working,0
French Spaniel,Foundation Stock Service,0
German Longhaired Pointer,Foundation Stock Service,0
German Pinscher,Working,0
German Shepherd Crossbreed,Mixed,1
German Shepherd Dog,Herding,0
German Shorthaired Pointer,Sporting,0
German Spitz,Foundation Stock Service,0
German Wirehaired Pointer,Sporting,0
Giant Schnauzer,Working,0
Glen of Imaal Terrier,Terrier,0
Golden Retriever,Sporting,0
Goldendoodle,Mixed,1
Gordon Setter,Sporting,0
Grand Basset Griffon Vendeen,Hound,0
Great Dane,Working,0
Great Pyrenees,Working,0
Greater Swiss Mountain Dog,Working,0
Greyhound,Hound,0
Hamiltonstovare,Foundation Stock Service,0
Harrier,Hound,0
Havanese,Toy,0
Ibizan Hound,Hound,0
Irish Red and White Setter,Sporting,0
Irish Setter,Sporting,0
Irish Terrier,Terrier,0
Irish Wolfhound,Hound,0
Italian Greyhound,Toy,0
Jack Russell Terrier,Terrier,1
Japanese Chin,Toy,0
Japanese Chin/Spaniel,Mixed,1
Jindo,Foundation Stock Service,0
Karelian Bear Dog,Foundation Stock Service,0
Keeshond,Non-Sporting,0
Kerry Blue Terrier,Terrier,0
Kooikerhondje,Sporting,0
Kromfohrlander,Foundation Stock Service,0
Kuvasz,Working,0
Labradoodle,Mixed,1
Labrador Retriever,Sporting,0
Labrador Retriever Crossbreed,Mixed,1
Lagotto Romagnolo,Sporting,0
Lakeland Terrier,Terrier,0
Leonberger,Working,0
Lhasa Apso,Non-Sporting,0
Long Haired Dachshund,Hound,1
Long Haired Miniature Dachshund,Hound,1
Lowchen,Non-Sporting,0
Maltese,Toy,0
Maltese Crossbreed,Mixed,1
Maltipoo,Mixed,1
Manchester Terrier,Terrier,0
Mastiff,Working,0
Miniature American Shepherd,Herding,0
