BreedName,HeightMin,HeightMax,WeightMin,WeightMax,LifeMin,LifeMax,AvgHeight,AvgWeight,AvgLife
Affenpinscher,9,11.5,7,10,12,15,10.25,8.5,13.5
Afghan Hound,25,26,50,60,12,15,25.5,55,13.5
Afghan Hound Crossbreed,,,,,,,,,
Airedale Terrier,23,23,50,70,11,14,23,60,12.5
Akita,24,28,70,130,10,13,26,100,11.5
Akita Crossbreed,,,,,,,,,
Alaskan Malamute,23,25,75,85,10,14,24,80,12
American Bulldog,20,25,60,100,10,12,22.5,80,11
American Bully,,,,,,,,,
American English Coonhound,23,26,45,65,11,12,24.5,55,11.5
American Eskimo dog,15,19,23,35,13,15,17,29,14
American Foxhound,21,25,60,70,11,13,23,65,12
American Hairless Terrier,12,16,12,16,14,16,14,14,15
American Leopard Hound,21,27,45,70,12,15,24,57.5,13.5
American Pit Bull Mix / Pit Bull Mix,,,,,,,,,
American Pit Bull Terrier/Pit Bull,,,,,,,,,
American Staffordshire Terrier ,17,19,40,70,12,16,18,55,14
American Water Spaniel,15,18,25,45,10,14,16.5,35,12
Anatolian Shepherd Dog,27,29,80,150,11,13,28,115,12
Australian Cattle Dog,17,20,35,50,12,16,18.5,42.5,14
Australian Kelpie,17,20,,,10,13,18.5,,11.5
Australian Shepherd,18,23,40,65,12,15,20.5,52.5,13.5
Australian Terrier,10,11,15,20,11,15,10.5,17.5,13
Barbet,19,24.5,35,65,12,14,21.75,50,13
Basenji,16,17,22,24,13,14,16.5,23,13.5
Basset Hound,15,15,40,65,12,13,15,52.5,12.5
Beagle,13,15,20,30,10,15,14,25,12.5
Beagle Crossbreed,,,,,,,,,
Bearded Collie,20,22,45,55,12,14,21,50,13
Bedlington Terrier,15,17.5,17,23,11,16,16.25,20,13.5
Belgian Malinois,22,26,40,80,14,16,24,60,15
Belgian Sheepdog,22,26,45,75,12,14,24,60,13
Belgian Tervuren,22,26,45,75,12,14,24,60,13
Berger Picard,21.5,25.5,50,70,12,13,23.5,60,12.5
Bernese Mountain Dog,23,27.5,70,115,7,10,25.25,92.5,8.5
Bichon Frise,9.5,11.5,12,18,14,15,10.5,15,14.5
Bichon Frise Crossbreed,,,,,,,,,
Biewer Terrier,7,11,4,8,16,16,9,6,16
Black Russian Terrier,26,30,80,130,10,12,28,105,11
