rownumber,animalgender,breedname,borough,zipcode
47793,F,Chow Chow,Queens,11385
48071,M,Pug,Queens,11357
50583,F,Pug,Manhattan,10003
52086,M,Not Listed,Bronx,10456
52822,M,Not Listed,Bronx,10473
52932,M,Maltese,Queens,11105
54241,F,Basenji,Manhattan,10065
54483,M,Havanese,Manhattan,10035
55437,F,Pug,Manhattan,10003
58027,F,Shih Tzu,Brooklyn,11224
58267,F,Not Listed,Queens,11378
60758,F,Not Listed,Brooklyn,11229
61685,M,Not Listed,Brooklyn,11230
61933,M,Not Listed,Queens,11375
62433,F,Chihuahua,Brooklyn,11215
62647,M,Shih Tzu,Queens,11368
63181,M,Pug,Bronx,10464
63299,F,Pug,Brooklyn,11209
63577,F,Maltese,Queens,11429
63826,M,Chow Chow,Manhattan,10011
64325,M,Akita,Queens,11372
64448,F,Not Listed,Manhattan,10031
64548,M,Pug,Bronx,10462
65159,M,Pug,Bronx,10465
65652,F,Maltese,Brooklyn,11235
66254,M,Pug,Queens,11103
67051,F,Not Listed,Brooklyn,11215
67388,F,Lhasa Apso,Brooklyn,11235
68383,F,Not Listed,Manhattan,10025
68631,F,Shih Tzu,Brooklyn,11209
70675,M,Maltese,Queens,11416
71021,M,Puggle,Brooklyn,11231
71385,M,Shih Tzu,Queens,11106
71726,F,Not Listed,Staten Island,10305
72161,F,Chihuahua,Manhattan,10035
72193,F,Beagle,Manhattan,10021
73177,F,Boxer,Queens,11428
74383,F,Shih Tzu,Bronx,10474
75173,M,Not Listed,Bronx,10462
76526,F,Maltese,Brooklyn,11233
76715,M,Not Listed,Bronx,10471
77026,M,Maltese,Brooklyn,11214
77550,M,Not Listed,Queens,11364
77582,M,Shih Tzu,Bronx,10467
80636,M,Not Listed,Brooklyn,11237
80667,M,Cocker Spaniel,Queens,11413
81693,F,Pug,Brooklyn,11204
85093,F,Morkie,Brooklyn,11225
86424,F,Pug,Manhattan,10007
86857,M,Chihuahua,Manhattan,10009
88274,M,Puggle,Queens,11385
88931,M,Pug,Staten Island,10303
89059,M,Boxer,Queens,11109
89334,F,Beagle,Brooklyn,11221
89373,M,Maltese,Bronx,10454
90174,M,Maltese,Queens,11414
90453,F,Maltese,Queens,11375
91009,M,Lhasa Apso,Manhattan,10016
91286,F,Not Listed,Queens,11428
91624,M,Maltese,Brooklyn,11236
94931,M,Chihuahua,Bronx,10460
96746,F,Morkie,Bronx,10455
97047,M,Pug,Queens,11414
97409,F,Not Listed,Queens,11363
97843,F,Pug,Manhattan,10025
99358,F,Not Listed,Manhattan,10024
101091,M,Puggle,Queens,11421
101307,M,Not Listed,Bronx,10469
102763,M,Not Listed,Queens,11357
103230,F,Maltese,Manhattan,10032
103433,F,Pug,Queens,11377
105343,M,Pug,Brooklyn,11215
106386,F,Not Listed,Bronx,10463
109913,M,Not Listed,Bronx,10465
110958,F,Not Listed,Manhattan,10023
112181,F,Not Listed,Queens,11417
112712,F,Maltese,Queens,11421
113486,M,Maltese,Manhattan,10025
114941,F,Not Listed,Brooklyn,11217
115518,F,Beagle,Queens,11101
120475,M,Puggle,Queens,11374
120587,F,Pug,Bronx,10463
120808,M,Pug,Manhattan,10033
120943,F,Not Listed,Bronx,10473
121295,M,Not Listed,Brooklyn,11210
45299,F,Yorkshire Terrier,Manhattan,10030
45300,F,Standard Schnauzer,Manhattan,10023
45301,M,Not Listed,Queens,11375
45302,F,Australian Shepherd,Queens,11357
45303,M,Shih Tzu,Brooklyn,11226
45304,M,Maltese,Bronx,10452
45305,F,Miniature Schnauzer,Brooklyn,11238
45306,M,West Highland White Terrier,Staten Island,10304
45307,F,Cocker Spaniel,Manhattan,10003
45308,F,Not Listed,Bronx,10452
45309,M,Labrador Retriever Crossbreed,Brooklyn,11206
45310,M,Poodle Crossbreed,Brooklyn,11238
45311,M,Poodle Crossbreed,Bronx,10452
45312,F,German Shepherd Crossbreed,Brooklyn,11223
45313,M,Australian Shepherd,Bronx,10461
45314,F,Catahoula Leopard Dog,Manhattan,10023
45315,F,Pembroke Welsh Corgi,Brooklyn,11215
45316,M,American Pit Bull Mix / Pit Bull Mix,Staten Island,10303
45317,M,Australian Shepherd,Manhattan,10016
45318,M,Yorkshire Terrier,Manhattan,10009
45319,F,Terrier Crossbreed,Manhattan,10022
45320,F,American Staffordshire Terrier ,Bronx,10465
45321,F,American Pit Bull Terrier/Pit Bull,Queens,11420
45322,F,American Staffordshire Terrier ,Bronx,10465
45323,M,Greyhound,Staten Island,10302
45324,F,Silky Terrier,Manhattan,10009
45325,M,Yorkshire Terrier,Queens,11375
45326,F,Yorkshire Terrier,Bronx,10465
45327,F,Miniature Schnauzer,Brooklyn,11213
45328,M,Yorkshire Terrier,Staten Island,10307
45329,M,Shiba Inu,Manhattan,10033
45330,F,Labrador Retriever,Manhattan,10009
45331,F,Norfolk Terrier,Brooklyn,11211
45332,M,Ibizan Hound,Manhattan,10005
45333,F,Not Listed,Queens,11374
45334,M,American Pit Bull Mix / Pit Bull Mix,Manhattan,10029
45335,F,Golden Retriever,Manhattan,10022
45336,F,Shih Tzu Crossbreed,Queens,11413
45337,F,Old English Sheepdog,Brooklyn,11222
45338,M,Basset Hound,Queens,11365
45339,M,Chihuahua,Manhattan,10065
45340,F,American Pit Bull Terrier/Pit Bull,Staten Island,10301
45341,M,Not Listed,Brooklyn,11218
45342,M,Bichon Frise,Staten Island,10306
45343,F,Labrador Retriever,Staten Island,10310
45344,M,Australian Shepherd,Manhattan,10001
45345,F,Chow Chow,Manhattan,10032
45346,F,French Bulldog,Manhattan,10023
45347,M,Beagle,Brooklyn,11237
45348,M,Not Listed,Manhattan,10024
45349,M,Cairn Terrier,Manhattan,10024
45350,M,Not Listed,Manhattan,10029
45351,M,Chihuahua Crossbreed,Queens,11414
45352,M,Morkie,Queens,11379
45353,F,German Shepherd Crossbreed,Brooklyn,11215
45354,F,Not Listed,Manhattan,10037
45355,M,Australian Shepherd,Manhattan,10003
45356,M,Maltese,Brooklyn,11217
45357,M,Miniature Poodle,Queens,11368
45358,F,Cocker Spaniel,Manhattan,10022
45359,M,Yorkshire Terrier,Brooklyn,11201
45360,F,Maltese,Queens,11385
45361,F,Maltese,Manhattan,10021
45362,F,Yorkshire Terrier,Queens,11369
45363,M,Yorkshire Terrier,Queens,11106
45364,F,Cocker Spaniel,Queens,11105
45365,F,Not Listed,Manhattan,10029
45366,F,Cavalier King Charles Spaniel,Manhattan,10028
