"breedgroup","breedname","licensecount","avgweight","lifeexpectancy"
,"Dog","76653","46.27739421587808","12.628051706671743"
"Dog","Foundation Stock Service","185","48.779411764705884","12.823529411764707"
"Dog","Herding","3311","46.793103448275865","13"
"Dog","Hound","3883","50.972972972972975","12.567567567567568"
"Dog","Miscellaneous","40","46.5","12.7"
"Dog","Mixed","14046","35.785714285714285","12.985714285714286"
"Dog","Non-Sporting","8032","31.977272727272727","12.954545454545455"
"Dog","Sporting","5698","51.87931034482759","12.517241379310345"
"Dog","Terrier","5033","24.12121212121212","13.545454545454545"
"Dog","Toy","22948","9.3875","13.75"
"Dog","Unknown","10383","60","11.5"
"Dog","Working","3094","102.85483870967742","10.564516129032258"
"Foundation Stock Service","American Bulldog","34","80","11"
"Foundation Stock Service","American Leopard Hound","1","57.5","13.5"
"Foundation Stock Service","Australian Kelpie","17","40","11.5"
"Foundation Stock Service","Biewer Terrier","3","6","16"
"Foundation Stock Service","Bolognese","7","7.25","13"
"Foundation Stock Service","Catahoula Leopard Dog","58","72.5","12"
"Foundation Stock Service","Eurasier","2","55","14"
"Foundation Stock Service","French Spaniel","3","55","11"
"Foundation Stock Service","German Longhaired Pointer","2","67.5","13"
"Foundation Stock Service","German Spitz","7","25","14"
"Foundation Stock Service","Hamiltonstovare","1","57.5","15.5"
"Foundation Stock Service","Jindo","36","40","14"
"Foundation Stock Service","Karelian Bear Dog","1","46.5","12"
"Foundation Stock Service","Kromfohrlander","2","27.5","14"
"Foundation Stock Service","Perro de Presa Canario","6","97","10"
"Foundation Stock Service","Thai Ridgeback","3","55","12.5"
"Foundation Stock Service","Treeing Tennessee Brindle","2","40","11"
"Herding","Australian Cattle Dog","247","42.5","14"
"Herding","Australian Shepherd","558","52.5","13.5"
"Herding","Bearded Collie","33","50","13"
"Herding","Belgian Malinois","64","60","15"
"Herding","Belgian Sheepdog","14","60","13"
"Herding","Belgian Tervuren","1","60","13"
"Herding","Berger Picard","4","60","12.5"
"Herding","Border Collie","403","42.5","13.5"
"Herding","Bouvier Des Flandres","14","90","11"
"Herding","Briard","10","77.5","12"
"Herding","Canaan Dog","5","45","13.5"
"Herding","Cardigan Welsh Corgi","63","31.5","13.5"
"Herding","Collie","29","62.5","13"
"Herding","Entlebucher Mountain Dog","5","52.5","12"
"Herding","Finnish Lapphund","1","43","13.5"
"Herding","German Shepherd Dog","1190","70","8.5"
"Herding","Miniature American Shepherd","93","30","12.5"
"Herding","Norwegian Buhund","1","33","13.5"
"Herding","Old English Sheepdog","40","60","11"
"Herding","Pembroke Welsh Corgi","266","29","12.5"
"Herding","Polish Lowland Sheepdog","3","40","13"
"Herding","Puli","16","30","12.5"
"Herding","Pumi","2","25.5","12.5"
"Herding","Pyrenean Shepherd","2","22.5","17"
"Herding","Rough Coat Collie","28","50","15"
"Herding","Shetland Sheepdog","192","20","13"
"Herding","Smooth Coat Collie","24","50","13.5"
"Herding","Spanish Water Dog","2","40","13"
"Herding","Swedish Vallhund","1","27.5","13.5"
"Hound","Afghan Hound","15","55","13.5"
"Hound","American English Coonhound","10","55","11.5"
"Hound","American Foxhound","29","65","12"
"Hound","Basenji","93","23","13.5"
"Hound","Basset Hound","181","52.5","12.5"
"Hound","Beagle","1307","25","12.5"
"Hound","Black and Tan Coonhound","77","87.5","11"
"Hound","Bloodhound","19","95","11"
"Hound","Bluetick Coonhound","25","67.5","11.5"
"Hound","Borzoi","10","82.5","11.5"
"Hound","Cirneco dell","2","21.5","13"
"Hound","Dachshund","354","24","14"
"Hound","Dachshund Smooth Coat","488","24","14"
"Hound","Dachshund Smooth Coat Miniature","294","24","14"
"Hound","English Foxhound","12","67.5","11.5"
"Hound","Grand Basset Griffon Vendeen","1","42.5","14"
"Hound","Greyhound","143","65","11.5"
"Hound","Harrier","8","52.5","13.5"
"Hound","Ibizan Hound","9","47.5","12.5"
"Hound","Irish Wolfhound","12","112.5","7"
"Hound","Long Haired Dachshund","117","27","14"
"Hound","Long Haired Miniature Dachshund","168","11","14"
"Hound","Norwegian Elkhound","17","51.5","13.5"
"Hound","Otterhound","1","97.5","11.5"
"Hound","Petit Basset Griffon Vendeen","18","32.5","13"
"Hound","Pharaoh Hound","26","50","13"
"Hound","Plott","34","50","13"
"Hound","Polish Hound","2","60","13.5"
"Hound","Portuguese Podengo Pequeno","9","11","13.5"
"Hound","Redbone Coonhound","23","57.5","13.5"
"Hound","Rhodesian Ridgeback","145","77.5","10"
"Hound","Saluki","5","52.5","13.5"
"Hound","Scottish Deerhound","3","92.5","9.5"
"Hound","Treeing Walker Coonhound","53","60","12.5"
"Hound","Whippet","88","32.5","13.5"
"Hound","Wirehaired Dachshund","39","24","14"
"Hound","Wirehaired Miniature Dachshund","46","10","14"
"Miscellaneous","Barbet","3","50","13"
"Miscellaneous","Dogo Argentino","13","94","12"
"Miscellaneous","Dutch Shepherd","21","58.5","12.5"
"Miscellaneous","Mudi","2","23.5","13"
"Miscellaneous","Russian Toy","1","6.5","13"
"Mixed","Afghan Hound Crossbreed","1","50","13.5"
"Mixed","Akita Crossbreed","27","100","11.5"
"Mixed","American Pit Bull Mix / Pit Bull Mix","2044","60","14"
"Mixed","American Pit Bull Terrier/Pit Bull","1815","65","14"
"Mixed","Beagle Crossbreed","627","35","12.5"
"Mixed","Bichon Frise Crossbreed","22","12","14.5"
"Mixed","Bloodhound Crossbreed","3","90","11"
"Mixed","Border Collie Crossbreed","34","45","13.5"
"Mixed","Boxer Crossbreed","36","65","11"
"Mixed","Chihuahua Crossbreed","809","5.5","15"
"Mixed","Cocker Spaniel Crossbreed","42","27","12"
"Mixed","Collie Crossbreed","138","45","13"
"Mixed","Dachshund Crossbreed","150","30","14"
"Mixed","German Shepherd Crossbreed","956","70","8.5"
