city,borough,licensecount
,New York,
New York,Albany,1
New York,Arverne,1
New York,Astoria,3
New York,Bayside,1
New York,Belle Harbor,1
New York,Briarwood ,2
New York,Bronx,7867
New York,Bronxville,1
New York,Brooklyn,18767
New York,Cambria Heights,1
New York,East Elmhurst,1
New York,Elmhurst ,1
New York,Floral Park,1
New York,Flushing,1
New York,Forest Hills,2
New York,Glen Oaks,1
New York,Glendale,1
New York,Hoboken,1
New York,Jackson Heights,4
New York,Jersey City,1
New York,Kew Gardens,3
New York,Long Island City,1
New York,Lynbrook,1
New York,Manhattan,26493
New York,Maspeth,1
New York,Middle Village,1
New York,Middletown,1
New York,New York,33
New York,New York (General),12
New York,Non-Ny,1
New York,Oakland Gardens,1
New York,Ozone Park,2
New York,Potomac,1
New York,Queens,16009
New York,Richmond Hill,2
New York,Ridgewood,1
New York,Rockaway Park,1
New York,Santa Monica,1
New York,South Richmond Hill,2
New York,Staten Island,7421
New York,Wappingers Falls,1
New York,West Palm Beach,1
New York,Woodside,4
